的	obduk
体	orfbf
感	oxmxn
太	odadm
内	ouudm
觉	oxtjm
水	ouudm
水	ouuna
先	ojmer
先	opper
难	oyzvv
王	ohgtu
比	obibi
别	olkdk
别	olkli
入	oppdm
入	oppna
边	ozzli
第	ovupx
第	ovuve
直	ohghg
机	omuji
理	owhli
快	ouujt
快	oxcjt
更	ohgdm
更	ohgna
做	odjgu
做	orfgu
处	ovebu
处	owfbu
者	olcri
者	oxnri
并	obakl
接	otiqx
接	ouzqx
西	ohghg
马	ovehg
轻	oiejy
四	okzer
四	owwer
关	obatm
山	ouuuu
月	opphg
放	ofhfj
放	ofhwf
连	ozzie
加	olikb
目	ouuhg
脸	oythg
脸	oytqm
飞	ovedm
使	odjli
使	orfli
龙	ohgdm
强	ogssv
张	ogsih
由	ouuhg
金	opphg
立	odmhg
叫	okzjq
安	obcnv
安	ogdnv
师	ouujn
吧	okzba
剑	oqmdk
剑	orfli
信	odjyj
信	orfyj
学	odmzi
军	ogdie
军	otuie
望	odmhg
算	ovugs
原	ohgdm
美	odmda
美	oxqda
像	odjxd
像	orfxd
平	ohguu
场	otupx
场	otuve
吗	okzma
战	ovjge
特	onqsi
万	ohgpx
数	olzwf
数	omifj
云	oersi
清	osjqy
清	ouvqy
今	oppve
变	oyiyb
任	odjrf
任	orfrf
空	oxtgs
表	ohgdm
表	ohgna
完	obcyr
完	ogdyr
合	ojikb
合	orfkb
带	ohgjn
量	odjli
海	osjmz
海	ouvmz
受	oppdm
受	oppna
解	oppuu
文	otzyi
文	owfdm
命	ojikb
命	orfkb
转	oievr
斯	oqijn
通	ozzys
冷	ollly
冷	ouvly
思	otmxn
黑	ouudm
世	ohgve
该	oyjhl
双	oyzyb
利	ohedk
利	oheli
至	ohghg
非	ouuhg
林	omumu
呢	okzni
新	oqcjn
步	ovibu
步	ovipx
候	odjhb
候	orfhb
五	ohghg
李	omuzi
度	ogldm
度	oglna
度	oglyb
虽	okzis
路	ozuge
惊	ouujy
惊	oxcjy
微	oppdm
微	oppna
跟	ozugf
似	odjyi
似	orfyi
物	onqwu
许	oyjwu
化	odjbi
化	orfbi
制	oppdk
制	oppli
制	oppuu
火	odmdm
性	ouuug
性	oxcug
反	ofjyb
反	oppyb
武	ohgdm
总	odmxn
指	otivi
指	ouzvi
系	oppmi
系	oppxi
结	ojnji
结	osiji
花	occhw
亲	oligm
亲	olipn
教	oxnfj
教	oxnwf
功	ogsli
刚	oghdk
刚	oghli
提	otiui
提	ouzui
杀	oppgm
杀	oyipn
竟	oycer
士	ohghg
远	ozzyr
百	ohgbl
红	ojngs
红	osigs
它	obcbi
它	ogdbi
离	odmdm
满	osjdm
满	ouvck
找	otige
找	ouzge
落	occlo
容	obcgu
容	ogdgu
必	odmdm
深	osjmu
深	ouvuf
城	otuig
拉	otili
拉	ouzli
奇	odake
若	occyb
各	ovekb
各	owfkb
失	oppfu
尔	ogdxc
尔	ogrxc
言	odmkb
传	odjvr
传	orfvr
且	ouuhg
形	okdsj
青	ohger
青	oqkmk
石	ohgkb
石	ouikb
干	ohguu
半	odmuu
近	ozzjn
认	oyjrf
怕	ouubl
怕	oxcbl
队	oerrf
电	ouuve
夫	ohgdm
夫	ohgna
往	orfvu
往	oulvu
突	oxtqr
吃	okzqi
啊	okzaa
倒	odjdk
倒	orfdk
活	osjue
活	ouvue
件	odjnq
件	orfnq
随	oeryb
绝	ojnse
绝	osise
刻	ohddk
刻	ohdli
息	ozixn
即	oveuu
工	ohghg
早	oriui
极	omuji
乎	oppuu
界	otmjx
记	oyjji
紧	ouumi
紧	ouuxi
怪	ouuug
怪	oxcug
流	osjve
流	ouvuu
报	otiyb
报	ouzyb
车	ohguu
管	ovugr
音	oliri
衣	odmdm
衣	odmna
保	odjdl
保	orfdl
暗	oriyn
弟	obapx
弟	obave
及	oppdm
及	oppna
交	olqdm
交	olqyi
影	ojksj
华	ohxui
爱	ovxyb
精	omiqy
伤	odjli
伤	orfli
势	ovili
民	oveve
计	oyjui
决	olljt
决	ouvjt
玉	owhdm
服	oppdm
条	ovegm
条	owfpn
众	orfcs
领	olkye
哥	okeke
南	ohguu
般	ovzuu
元	ohgwu
罗	osixi
收	ojqfj
收	ojqwf
未	ohgdm
未	ohgna
始	onvtl
办	ovedm
题	ouiye
星	oriug
克	oguer
根	omugf
谁	oyjvv
阵	oerie
则	obwdk
则	obwli
象	oppdm
象	oppna
男	otmli
达	ozzda
展	ovedm
展	ovena
击	ohguu
坐	opphg
灵	oxyho
灵	oxtho
血	oppmn
整	oiivg
整	ouuvg
员	okzbz
兵	oqqba
急	oiuxn
急	oppxn
千	oppuu
切	oqidk
越	ozzpx
越	ozzyt
喜	ohghg
语	oyjwu
站	olivj
请	oyjqy
德	oppdm
帮	obhjn
敢	ovedm
敢	ovena
消	osjxc
消	ouvxc
业	ouuhg
姐	onvju
姐	onvqx
周	opphg
周	oppkb
视	ouijm
字	obczi
字	ogdzi
八	oppdm
八	oppna
每	oppmu
每	oscmu
苦	occgu
房	ohufh
忙	ouuwh
忙	oxcwh
雷	oyutm
团	okzcl
团	owwcl
片	oppve
哪	okzna
尽	oiedm
书	ovedm
备	ovetm
备	owftm
求	ohgdm
求	ohgna
司	ovehg
北	ouuve
静	oqkvg
错	ojcxi
断	omijn
准	ollvv
准	ouvvv
江	osjgs
江	ouvgs
刀	ovepx
建	ojmyu
兄	okzer
终	ojnds
终	osids
足	okzdm
足	okzna
兴	odmba
冲	ollvs
冲	ouvvs
阳	oerri
代	odjyi
代	orfyi
或	ohgpx
楚	olcpi
楚	olcuu
底	ogldi
夜	otzna
夜	owfdm
术	omudm
格	omuge
识	oyjvi
持	otisi
持	ouzsi
答	ovuhe
哈	okzhe
留	opphg
确	ouijc
易	oriwu
七	ohgve
论	oyjlp
父	obadm
父	obayi
拿	oheub
程	oheig
阿	oerke
害	obckb
害	ogdkb
族	ofhui
破	ouipi
孩	ozihl
魔	omagv
官	obchg
官	ogdve
沉	osjrs
沉	ouvrs
显	oriye
够	ojudo
宝	obcyu
宝	ogdyu
取	oeryb
单	odmuu
掌	ouuuu
务	oveli
务	owfli
低	odjdi
低	orfdi
雪	oyuxp
雪	oyuxt
响	okzxd
布	ohgjn
布	ozojn
市	otzjn
市	owfjn
摇	otifb
摇	ouzyk
依	odjyi
依	orfyi
久	oppdm
级	ojnji
级	osiji
首	odmhg
运	ozzyp
朝	offyt
朝	oicyt
待	orfsi
待	oulsi
娘	onvld
客	obcge
客	ogdge
统	ojnis
统	osiis
忽	owuxn
速	ozzuu
复	oppfj
复	oppwf
修	odjsj
修	orfwf
欢	oyzqm
异	osigs
式	ohgdm
护	otihu
护	ouzhu
爷	ofudj
爷	ofuer
况	ollxs
况	ouvxs
脚	oytqt
招	otivk
招	ouzvk
九	oppve
集	ovvmu
区	oklyi
区	osjdm
晚	orimm
铁	ojcui
亚	ohgye
除	oeryu
钱	ojcjm
送	ozzgr
兰	obasj
联	oergr
政	ovgfj
政	ovgwf
义	odmdm
义	odmna
丝	ojnhg
丝	osihg
古	ouikb
六	otzba
六	owfba
器	okukb
器	okuss
甚	oqive
照	ovcho
照	ovcsi
基	oqitu
闪	omfrf
院	oerwj
装	ovlyi
居	ouigu
产	olipx
呼	okzhu
杨	omupx
杨	omuve
露	oyulu
句	obckb
乱	oueve
举	odmuu
敌	ouefj
敌	ouewf
斗	odmuu
香	oheri
停	odjty
停	orfty
台	osikb
群	ojyyh
嘴	okzzv
希	oppbu
希	oyibu
酒	osjyb
酒	ouvyb
巴	oveve
怀	ouubu
怀	oxcbu
议	oyjyi
类	omida
支	ouiyb
慢	ouumj
慢	oxcmj
陈	oerds
仙	odjuj
仙	orfuj
段	oppuu
调	oyjvb
顿	otyye
派	osjdm
派	ouvpx
英	occyh
喝	okzhe
喝	okzve
期	oqiyt
威	ohgdm
另	okzli
府	oglfu
改	ojifj
改	ojiwf
旁	odmpx
资	ocibz
续	ojnml
续	osiml
造	ozzgk
乐	oppdm
攻	ogsfj
攻	ogswf
愿	oyrxn
围	okzwz
围	owwwz
疑	obipi
疑	obiuu
念	ojcxn
引	ogsuu
热	oviho
热	ovisi
怒	onuxn
退	ozzgf
缓	ojnyr
缓	osiyr
线	ojnjm
线	osijm
注	osjvu
注	ouvvu
细	ojntm
细	ositm
图	okzds
图	owwds
背	obwer
背	obwmk
需	oyuer
痛	obkys
观	oyzjm
组	ojnqx
组	osiju
雨	ohgdm
曾	odmri
约	ojnuk
约	osiuk
包	obcsi
木	ohgdm
木	ohgna
技	otivi
技	ouzvi
示	oerxc
皇	obdwh
据	otiju
据	ouzju
差	ojlgs
差	oyhgs
设	oyjuu
密	ogduj
密	omiuj
谢	oyjue
鬼	oppdm
穿	oxtya
脑	oytdm
脑	oytnk
赶	ozzgj
莫	occtl
丽	ohgdm
品	okzkb
品	okzss
叶	okzui
既	oveve
存	ohgzi
睛	omuqy
宫	obclv
宫	ogdlv
烈	olpho
烈	olpsi
诉	oyjii
追	ozzhg
追	ozzvv
推	otivv
推	ouzvv
您	onixn
商	odmhg
争	oppuu
淡	osjyj
淡	ouvyj
止	ouuhg
谈	oyjyj
严	oyapx
恶	oyaxn
狂	oqrwh
挥	otijp
挥	ouzjp
亮	odmve
卫	ovehg
闻	omfer
忍	orfxn
态	otdxn
汉	osjyb
汉	ouvyb
继	ojnmi
继	osimi
模	omumo
银	ojcgf
仍	odjnl
仍	orfnl
跑	ozubk
否	obukb
君	oyckb
妹	onvwz
隐	oerji
母	ovedm
科	ohedb
凌	ollly
凌	ouvly
选	ozzxm
梦	olcxi
刘	owfdk
刘	owfli
寒	odmdm
局	ovehg
冰	olluv
冰	ouvuv
禁	olcui
境	otuer
境	otujy
掉	otivo
掉	ouzvo
究	oxtjq
余	oppdm
余	orfdm
查	omudj
激	osjwf
激	ouvjc
号	okzkk
号	okzqc
防	oerfh
费	ofubz
恐	ogsxn
楼	omulb
楼	omunv
导	osicp
肯	ovier
肯	ovimk
故	ogufj
故	oguwf
游	osjyb
游	ouvyb
球	owhqq
树	omudv
叹	okzyb
救	oqqfj
救	oqqwf
施	ofhto
施	ofhye
帝	odmuu
佛	odjfu
佛	orffu
简	ovujm
料	omidb
际	oerui
顾	oeeye
齐	owfuu
抓	otivw
抓	ouzvw
玩	owhyr
猛	oqrmg
份	odjff
份	orfff
米	odmdm
米	odmna
仅	odjyb
仅	orfyb
具	ouudm
胜	oytug
治	osjtl
治	ouvtl
章	olizk
巨	ohghg
巨	ohgve
险	oerhg
险	oerqm
守	obccp
守	ogdcp
散	ohgfj
散	ohgwf
须	osjye
眉	ovemu
抱	otibk
抱	ouzbk
权	omuyb
试	oyjui
独	oqris
震	oyuif
索	ohgxi
证	oyjvg
礼	ouive
助	ojuli
助	oqpli
圣	oyztu
股	oytuu
跳	ozuvk
波	osjpi
波	ouvpi
负	ogdbz
负	ogrbz
虎	ohuji
练	ojndm
练	osidm
姑	onvgu
唐	oglhg
唐	oglkb
室	obcvi
室	ogdvi
伙	odjho
伙	orfho
沙	osjuk
沙	ouvuk
妈	onvma
阴	oeryt
称	oheer
投	otiuu
投	ouzuu
柔	omcmu
扬	otipx
扬	ouzve
规	ofujm
毫	odmve
温	osjwf
温	ouvwf
较	oiejc
毒	ohgmu
毒	oqkmu
耳	ohghg
座	oglzo
射	oufcp
厉	oihwj
层	ouiyp
副	ofudk
副	ofuli
担	otidj
担	ouzdj
参	osisj
置	osivi
历	oihli
初	oyidk
卡	ouhbu
承	ovedm
承	ovena
质	ojcbz
属	ouiyu
渐	osjvj
渐	ouvvj
蓝	occjm
船	ovzkb
逃	ozzvk
皮	ovedm
皮	ovena
药	occyt
呀	okzya
靠	ogcfz
充	odmve
标	omuui
坚	ouutu
贵	ovsbz
赵	ozzdm
赵	ozzyi
维	ojnvv
维	osivv
陆	oerji
块	otujt
吸	okzji
刺	ocidk
刺	ohgli
堂	oxntu
醒	oyzxy
考	olcqc
考	oxnkk
松	omugs
排	otifz
排	ouzfz
划	ogedk
划	ogeli
换	otihr
换	ouzhr
河	osjke
河	ouvke
环	owhbu
土	ohghg
志	ouixn
责	ohgbz
责	oqkbz
致	ovifj
致	oviwf
压	oihtu
素	ohgmi
素	oqkxi
湖	osjhu
湖	ouvhu
睡	omuiv
苏	occbj
京	odmdm
效	ojnfj
效	ojnwf
朋	oytyt
宇	obcyu
宇	ogdyu
顺	oirye
紫	ocimi
紫	ocixi
伸	odjuf
伸	orfuf
赛	ogdbz
超	ozzvk
忘	owhxn
幸	ohguu
遇	ozzyu
孙	ozixc
顶	odkye
拍	otibl
拍	ouzbl
警	ojkyj
按	otian
按	ouzan
察	obcui
察	ogdji
广	odmpx
藏	occch
胡	oguyt
秘	ohebi
凡	oppdm
型	oxktu
尚	ouuhg
恩	oycxn
脱	oytdv
营	occlv
增	otucg
价	odjjx
价	orfjx
史	ouudm
史	ouuna
节	occdj
节	occer
秋	oheho
翻	ofjyu
迷	ozzmi
州	odmuu
付	odjcp
付	orfcp
项	ogsye
萧	occsu
状	ojlqr
状	ovlqr
尼	ouibi
雅	oyavv
凤	ojiyb
秦	oiyhe
草	occzk
败	obwfj
败	obwwf
咱	okzzi
朱	oppwz
呆	okzmu
封	ogvcp
普	obkri
景	orijy
专	ohgdm
味	okzwz
舞	oppuu
弄	owhgs
虚	ohuye
毕	obiui
讲	oyjjy
福	ouifu
纪	ojnji
纪	osiji
握	otiwu
握	ouzwu
习	ovehg
社	ouitu
永	odmdm
永	odmna
寻	oxycp
寻	oxtcp
默	ohwqr
洞	osjts
洞	ouvts
控	otiks
控	ouzks
骑	omaqi
钟	ojcvs
徐	orfyu
徐	oulyu
辈	ofwie
假	odjxw
假	orfjw
病	obkby
胸	oytxs
欲	oguqm
伯	odjbl
伯	orfbl
峰	oujfg
肉	oklby
肉	otsrf
岁	oujxi
医	oklui
医	osjui
野	oliyu
值	odjvi
值	orfvi
职	oervi
尊	oqqcp
恨	ouugf
恨	oxcgf
狠	oqrgf
田	okzui
田	owwui
魂	oyygv
毛	oppve
免	oppve
短	ouidb
秀	ohenl
麻	oglln
坏	otubu
印	oppuu
良	odmgf
迎	ozzah
迎	ozzyh
枪	omuch
弹	ogsdj
骨	ouuhg
探	otimu
探	ouzuf
啦	okzla
研	ouikl
妖	onvao
劲	ojkli
临	ouuhg
宁	obcdy
宁	ogddy
屋	ouivi
案	oanmu
杰	omuho
杰	omusi
欧	oquqm
欧	ou
欧	ouq
饭	ouifj
村	omucp
升	oppgs
抬	otitl
抬	ouztl
蒙	occmg
略	otmge
丹	opphg
源	osjyr
源	ouvyr
纷	ojnff
纷	osiff
雄	ogsvv
雄	ohgvv
烟	ohoyn
优	odjyb
优	orfyb
写	ogdyu
写	otuyu
床	oglmu
罪	osifz
网	ouudm
食	orfld
板	omufj
校	omujc
某	ogjmu
妙	onvuk
休	odjmu
休	orfmu
珠	owhvu
列	odddk
列	oddli
盘	ovzmn
透	ozzxq
春	oiyri
委	ohenv
移	ohedo
呵	okzke
偷	odjyu
偷	orfyu
奥	oppda
吴	okztm
验	omahg
验	omaqm
牙	ohgpx
泪	osjmu
泪	ouvmu
宗	obcui
宗	ogdui
摆	otiba
摆	ouzba
善	odmhg
浪	osjld
浪	ouvld
羽	oxixi
肩	ohuer
肩	ohumk
智	oviri
拥	otiys
拥	ouzys
弱	ovehg
柳	omumk
硬	ouigg
纳	ojnnz
纳	osinz
洛	osjge
洛	ouvge
范	occfj
范	occve
混	osjkp
混	ouvkp
玄	otzyk
玄	owfyk
买	ovetb
济	osjji
济	ouvji
徒	orfzb
徒	oulzb
烦	ohoye
配	oyzji
适	ozzue
端	olidr
端	olier
娜	onvna
哭	okzqr
哭	ossqr
凝	ollyi
凝	ouvyi
镇	ojcvf
率	odmuu
避	ozzpi
拳	ojrub
创	ochdk
创	ochli
采	ovxmu
晓	oriyk
托	otito
托	ouzto
森	omuln
哼	okzhg
惜	ouuxi
惜	oxcxi
束	ohgdm
束	ohgna
熟	ouuho
熟	ouusi
归	ouuxp
归	ouuxt
抗	otikh
抗	ouzkh
邪	oyaer
庄	ogltu
喊	okzxm
梅	omumz
韩	offwz
韩	oicwz
罢	osiqu
仇	odjjq
仇	orfjq
奔	odags
奔	odahv
亡	odmve
富	obcfu
富	ogdfu
限	oergf
吓	okzxw
养	odmuu
厅	oihdy
贝	ouudm
娇	onvqc
省	oucmu
占	ouukb
横	omuhd
飘	opnfg
戏	oyzge
画	ohguu
暴	origs
暴	oriuv
灭	ohgho
域	otuho
瞧	omujc
软	oieqm
摸	otimo
摸	ouzmo
席	odmuu
席	ogljn
稳	oheji
绿	ojnlu
绿	osilu
伊	odjyn
伊	orfyn
讨	oyjcp
释	obmve
释	oppuu
获	occyn
店	oglvj
敬	ogzfj
敬	ogzwf
谷	obakb
谷	opphg
仿	odjfh
仿	orffh
借	odjxi
借	orfxi
丈	ohgdm
丈	ohgna
姓	onvug
挑	otivk
挑	ouzvk
祖	ouiju
祖	ouiqx
套	odaih
困	okzmu
困	owwmu
墙	otuhv
墙	otuse
冒	orimu
夏	ohgdm
夏	ohgna
叔	ouhyb
叔	ouuyb
架	ojxmu
鱼	opphg
织	ojnvi
织	osivi
尖	oxnda
丁	ohguu
牛	oppuu
旧	ouuri
扑	otibu
扑	ouzbu
彩	ocdsj
降	oerjd
燕	onmho
燕	onmsi
卷	ojrve
卷	ojrzi
臂	opier
臂	opimk
桌	ouudm
桌	ouuna
卖	ouiml
嘿	okzhz
骂	okzma
骂	ossma
鲜	oyuyh
幽	ouuuu
训	oyjir
演	osjdm
演	ouvyn
闭	omfcl
巧	ogskk
巧	ogsqc
奋	odatm
杂	ojqgm
杂	ojqpn
亦	odmdm
预	oyuye
尤	oyzdm
偏	odjbm
偏	orfbm
替	ofuri
箭	ovuqm
残	oddjm
拜	oppuu
腿	oyttv
婆	obonv
唯	okzvv
迹	ozzyi
班	owhwh
诸	oyjve
吉	ouikb
诺	oyjre
狼	oqrld
洋	osjyh
洋	ouvyh
虑	ohuxn
杯	omubu
袋	oddyi
策	ovuci
策	ovuuu
腰	oytyk
殿	ouiuu
番	obmtm
番	opptm
测	osjze
测	ouvze
输	oieyu
杜	omutu
惨	ouucj
惨	oxccj
盟	omkmn
鲁	oyuri
豪	odmdm
积	ohevi
趣	ozzqu
圆	okzyr
圆	owwyr
午	oppui
午	oscui
户	odmui
执	otiwj
执	ouzwj
妇	onvxp
妇	onvxt
沈	osjve
沈	ouvyn
登	odgdb
懂	ouuds
懂	oxcds
含	ojckb
犹	oqryb
互	ohghu
互	ohgji
律	orfyu
律	oulyu
锋	ojcfg
抢	otich
抢	ouzch
厚	oihzi
聚	oqudm
聚	oquyn
尸	ovepx
闹	omfui
纵	ojncs
纵	osics
凭	orfji
迅	ozzxp
财	obwcl
搞	otigk
搞	ouzgk
嘛	okzma
侧	odjze
侧	orfze
农	odmdm
农	odmna
稍	ohexc
介	oppuu
宣	obcdj
宣	ogdgf
抽	otiyb
抽	ouzyb
颜	oyjye
躲	oufdo
舒	oueyu
供	odjgs
供	orfgs
傲	odjao
傲	orfao
勇	oysli
阶	oerjx
犯	oqrve
犯	oqrzi
益	odmmn
尘	oxntu
甲	ouuuu
皱	oiupi
皱	opppi
街	oppuu
孤	ozigw
协	ouibj
兽	odmkb
碰	ouiby
伟	odjwz
伟	orfwz
塔	otuda
批	otibi
批	ouzbi
盖	odmmn
盖	oxqmn
监	ouumn
劳	occli
碎	ouicu
碎	ouizu
撞	otits
撞	ouzts
阻	oerju
阻	oerqx
操	otimu
操	ouzzk
概	omuji
曲	ouuhg
胆	oytdj
轮	oielp
婚	onvhp
迟	ozzie
凶	oppsj
凶	oyikd
党	oihxs
爸	ofuba
剧	ojudk
剧	ojuli
弃	otzbm
弃	owfgs
奈	odaui
逐	ozzdm
逐	ozzui
疯	obkfg
距	ozuju
附	oerfu
谓	oyjwz
歌	ogeqm
哦	okzwo
哦	oo
构	omugb
咬	okzjc
误	oyjwu
塞	ogdtu
慕	omodm
慕	omoxc
笔	ovumk
孔	ozive
牌	opmbz
陪	oerkb
陪	oerpb
折	otijn
折	ouzjn
窗	oxtcs
逼	ozzfu
材	omucl
挡	otidh
挡	ouzdh
岛	onnuj
择	otiuu
择	ouzve
袭	olsyi
挂	otigv
挂	ouzgv
伦	odjlp
伦	orflp
遍	ozzbm
芒	occwh
征	orfvg
征	oulvg
触	ojnis
瞪	omudg
荡	occth
抵	otidi
抵	ouzdi
郎	odmuu
滚	osjgp
滚	ouvgp
怜	ouuly
怜	oxcly
乃	ovepx
幻	oycve
臣	ohguu
判	objdk
判	objli
烧	ohoyk
腾	oytgs
腾	oytjr
欣	ojcqm
灯	ohody
库	oglie
妻	ohgnv
私	ohesi
荣	occgl
荣	occmu
夺	odacp
园	okzyr
园	owwyr
壁	opitu
贼	obwrs
颗	ogoye
累	otmmi
累	otmxi
宋	obcmu
宋	ogdmu
狗	oqrju
悄	ouuxc
悄	oxcxc
颤	odjye
颤	otzye
吟	okzjn
伏	odjqr
伏	orfqr
瞬	omuup
舍	orfue
补	oyibu
扫	otixp
扫	ouzxt
跃	ozuao
艺	occve
挺	otity
挺	ouzty
岳	oqquj
悲	ofwxn
圈	okzjr
圈	owwjr
旋	ofhpi
旋	ofhuu
瑞	owhdr
瑞	owher
惑	ohoxn
竹	oppuu
蛋	opiis
蛋	ouuis
艾	occdm
艾	occyi
扎	otive
扎	ouzve
莉	occli
损	otiyr
损	ouzyr
迫	ozzbl
盛	oigmn
企	orfvi
缘	ojndm
缘	ositr
纯	ojntp
纯	ositp
俊	odjwf
俊	orfqp
努	onuli
逸	ozztu
菲	occfz
抖	otidb
抖	ouzdb
乌	opphg
油	osjyb
油	ouvyb
炼	ohodm
唇	oifkb
幕	omojn
康	oglli
吐	okztu
汗	osjgj
汗	ouvgj
馆	ouigr
昨	oriva
赞	oufbz
赞	oxmbz
茶	occgm
茶	occpn
苍	occch
恢	ouuhv
恢	oxchv
裂	olpyi
育	odmer
育	odmmk
央	ouudm
央	ouuna
闲	omfmu
吼	okzks
爆	ohobk
鼓	ouivi
鼓	ovuvi
乡	ovepx
陷	oerjq
陷	oerxm
曼	ouudm
泰	oiyuv
踪	ozuzs
赤	ohgdm
萨	occij
缺	ofzjt
宽	obcjm
宽	ogdxm
岂	oujji
伴	odjbj
伴	orfbj
猜	oqrqy
额	okeye
遗	ozzgv
谋	oyjmb
浮	osjfu
浮	ouvfu
昏	ouiri
融	ogeis
融	oliis
妮	onvni
菜	occcl
例	odjlx
例	orflx
盯	omudy
涌	osjys
涌	ouvys
遭	ozzck
洲	osjvb
洲	ouvvb
潜	osjti
潜	ouvti
拼	otiby
拼	ouzby
勒	ogeli
博	ouifu
蛇	oista
港	osjhh
港	ouvhh
貌	oppmk
貌	ovimk
绍	ojnvk
绍	osivk
拔	otiba
拔	ouzba
洗	osjxm
洗	ouvxm
彻	orfqx
彻	oulqx
针	ojcui
纸	ojnui
纸	osiui
莱	occll
县	ojusi
县	oqpsi
剩	oigdk
剩	oigli
扶	otifu
扶	ouzfu
愤	ouubz
愤	oxcbf
镜	ojcer
镜	ojcjy
爵	ovxcp
爵	ovxve
晶	oriri
晶	orixr
佩	odjpz
佩	orfpz
讯	oyjxp
忧	ouuyb
忧	oxcyb
鼻	ozibi
鼻	ozigs
御	orfxx
御	oulxx
均	otuyp
枫	omufg
泽	osjuu
泽	ouvve
凯	oqiji
浩	osjgk
浩	ouvgk
奶	onvnl
怨	owjxn
怨	oxixn
毁	ojquu
壮	ojlui
壮	ovlui
诚	oyjig
忠	ovsxn
洪	osjgs
洪	ouvgs
雾	oyuwu
糊	omihu
固	okzgu
固	owwgu
轰	oieud
坦	otudj
睁	omuvg
佳	odjgv
佳	orfgv
爹	ofudo
蒂	occdi
丢	oppqu
庆	oglda
亿	odjve
亿	orfve
词	oyjsi
辛	oliui
丰	ohguu
缩	ojnsu
缩	osisu
吹	okzqm
仰	odjah
仰	orfyh
迪	ozzyb
晃	origd
庭	oglty
莲	occlm
梁	odmdm
仔	odjzi
仔	orfzi
侠	odjjw
侠	orfjw
阁	omfge
检	omuhg
检	omuqm
暂	ovjri
读	oyjml
郭	oxler
绕	ojnyk
绕	osiyk
插	otihg
插	ouzia
凉	olljy
凉	ouvjy
净	ollvg
净	ouvvg
召	odckb
减	ollxm
减	ouvxm
侍	odjsi
侍	orfsi
慌	ouuhd
慌	oxchd
敏	omwfj
敏	omwwf
伍	odjwu
伍	orfwu
鹰	oglnc
朗	odmyt
讶	oyjya
诗	oyjsi
货	ohxbz
掩	otidm
掩	ouzyj
码	ouima
浑	osjjp
浑	ouvjp
隔	oerge
隔	oerli
傅	odjfu
